order_number,line_item,order_date,delivery_date,customerkey,storekey,productkey,quantity,currency_code,shipping_days,gender,name,city,state_code,state,country,continent,birthday,age,country_store,state_store,open_date,product_name,brand,color,subcategorykey,subcategory,categorykey,category,cost_usd,price_usd,date,currency,exchange
366000,1,"2016-01-01 00:00:00","2016-01-01 00:00:00",265598,10,1304,1,CAD,0,MALE,"TYLER VAUGHT",LONDON,ON,ONTARIO,CANADA,"NORTH AMERICA","1971-03-23 00:00:00",53,CANADA,NUNAVUT,"2015-04-04 00:00:00","CONTOSO LENS ADAPTER M450 WHITE",CONTOSO,WHITE,406,"CAMERAS & CAMCORDERS ACCESSORIES",4,"CAMERAS AND CAMCORDERS",31.27,68,"2016-01-01 00:00:00",CAD,1.3884
366001,1,"2016-01-01 00:00:00","2016-01-13 00:00:00",1269051,0,1048,2,USD,12,MALE,"FRANK UPCHURCH",AUBERRY,CA,CALIFORNIA,"UNITED STATES","NORTH AMERICA","1995-11-20 00:00:00",28,ONLINE,ONLINE,"2010-01-01 00:00:00","A. DATUM SLR CAMERA X136 SILVER","A. DATUM",SILVER,402,"DIGITAL SLR CAMERAS",4,"CAMERAS AND CAMCORDERS",141.47,427,"2016-01-01 00:00:00",USD,1
366001,2,"2016-01-01 00:00:00","2016-01-13 00:00:00",1269051,0,2007,1,USD,12,MALE,"FRANK UPCHURCH",AUBERRY,CA,CALIFORNIA,"UNITED STATES","NORTH AMERICA","1995-11-20 00:00:00",28,ONLINE,ONLINE,"2010-01-01 00:00:00","FABRIKAM MICROWAVE 1.5CUFT X1100 BLACK",FABRIKAM,BLACK,803,MICROWAVES,8,"HOME APPLIANCES",220.64,665.94,"2016-01-01 00:00:00",USD,1
366002,1,"2016-01-01 00:00:00","2016-01-12 00:00:00",266019,0,1106,7,CAD,11,FEMALE,"JOAN ROCHE","RED DEER",AB,ALBERTA,CANADA,"NORTH AMERICA","1962-08-24 00:00:00",62,ONLINE,ONLINE,"2010-01-01 00:00:00","CONTOSO SLR CAMERA M146 ORANGE",CONTOSO,ORANGE,402,"DIGITAL SLR CAMERAS",4,"CAMERAS AND CAMCORDERS",148.08,322,"2016-01-01 00:00:00",CAD,1.3884
366002,2,"2016-01-01 00:00:00","2016-01-12 00:00:00",266019,0,373,1,CAD,11,FEMALE,"JOAN ROCHE","RED DEER",AB,ALBERTA,CANADA,"NORTH AMERICA","1962-08-24 00:00:00",62,ONLINE,ONLINE,"2010-01-01 00:00:00","ADVENTURE WORKS LAPTOP8.9 E0890 WHITE","ADVENTURE WORKS",WHITE,301,LAPTOPS,3,COMPUTERS,166.2,326,"2016-01-01 00:00:00",CAD,1.3884
366002,3,"2016-01-01 00:00:00","2016-01-12 00:00:00",266019,0,1080,4,CAD,11,FEMALE,"JOAN ROCHE","RED DEER",AB,ALBERTA,CANADA,"NORTH AMERICA","1962-08-24 00:00:00",62,ONLINE,ONLINE,"2010-01-01 00:00:00","CONTOSO SLR CAMERA X143 SILVER",CONTOSO,SILVER,402,"DIGITAL SLR CAMERAS",4,"CAMERAS AND CAMCORDERS",214.03,646,"2016-01-01 00:00:00",CAD,1.3884
366004,1,"2016-01-01 00:00:00","2016-01-01 00:00:00",1107461,38,163,6,GBP,0,MALE,"SAM NELSON","BURSCOUGH BRIDGE","WEST LANCASHIRE","WEST LANCASHIRE","UNITED KINGDOM",EUROPE,"1979-11-28 00:00:00",44,"UNITED KINGDOM",BELFAST,"2015-04-04 00:00:00","ADVENTURE WORKS 52" LCD HDTV X790W WHITE","ADVENTURE WORKS",WHITE,201,TELEVISIONS,2,"TV AND VIDEO",527.53,1592.2,"2016-01-01 00:00:00",GBP,0.6742
366004,2,"2016-01-01 00:00:00","2016-01-01 00:00:00",1107461,38,1529,2,GBP,0,MALE,"SAM NELSON","BURSCOUGH BRIDGE","WEST LANCASHIRE","WEST LANCASHIRE","UNITED KINGDOM",EUROPE,"1979-11-28 00:00:00",44,"UNITED KINGDOM",BELFAST,"2015-04-04 00:00:00","THE PHONE COMPANY PDA HANDHELD 3.5 INCH M610 BLACK","THE PHONE COMPANY",BLACK,504,"SMART PHONES & PDAS",5,"CELL PHONES",117.27,255,"2016-01-01 00:00:00",GBP,0.6742
366005,1,"2016-01-01 00:00:00","2016-01-01 00:00:00",844003,33,421,4,EUR,0,MALE,"OUASSIM HEUVER",LEEUWARDEN,FR,FRIESLAND,NETHERLANDS,EUROPE,"1995-06-22 00:00:00",29,NETHERLANDS,FRIESLAND,"2015-12-09 00:00:00","ADVENTURE WORKS DESKTOP PC3.0 MS300 SILVER","ADVENTURE WORKS",SILVER,303,DESKTOPS,3,COMPUTERS,215.68,469,"2016-01-01 00:00:00",EUR,0.9185
366007,1,"2016-01-01 00:00:00","2016-01-01 00:00:00",2035771,43,1617,1,USD,0,FEMALE,"DAMIANA CORONA",WINCHESTER,VA,VIRGINIA,"UNITED STATES","NORTH AMERICA","1944-10-30 00:00:00",79,"UNITED STATES",ALASKA,"2015-01-01 00:00:00","CONTOSO DVD PLAYER M110 SILVER",CONTOSO,SILVER,602,"MOVIE DVD",6,"MUSIC, MOVIES AND AUDIO BOOKS",26.67,57.99,"2016-01-01 00:00:00",USD,1
